year,st,gen_pos
1980,AK,80.3921568627
1980,AL,9.80392156863
1980,AR,33.3333333333
1980,AZ,1.96078431373
1980,CA,74.5098039216
1980,CO,58.8235294118
1980,CT,90.1960784314
1980,DC,88.2352941176
1980,DE,50.9803921569
1980,FL,3.92156862745
1980,GA,49.0196078431
1980,HI,86.2745098039
1980,IA,60.7843137255
1980,ID,11.7647058824
1980,IL,68.6274509804
1980,IN,45.0980392157
1980,KS,64.7058823529
1980,KY,23.5294117647
1980,LA,27.4509803922
1980,MA,100.0
1980,MD,82.3529411765
1980,ME,66.6666666667
1980,MI,72.5490196078
1980,MN,94.1176470588
1980,MO,37.2549019608
1980,MS,13.7254901961
1980,MT,47.0588235294
1980,NC,25.4901960784
1980,ND,29.4117647059
1980,NE,39.2156862745
1980,NH,84.3137254902
1980,NJ,76.4705882353
1980,NM,5.88235294118
1980,NV,52.9411764706
1980,NY,98.0392156863
1980,OH,62.7450980392
1980,OK,56.862745098
1980,OR,43.137254902
1980,PA,78.431372549
1980,RI,92.1568627451
1980,SC,31.3725490196
1980,SD,19.6078431373
1980,TN,17.6470588235
1980,TX,21.568627451
1980,UT,35.2941176471
1980,VA,41.1764705882
1980,VT,70.5882352941
1980,WA,54.9019607843
1980,WI,96.0784313725
1980,WV,15.6862745098
1980,WY,7.8431372549
1981,AK,84.3137254902
1981,AL,5.88235294118
1981,AR,27.4509803922
1981,AZ,1.96078431373
1981,CA,82.3529411765
1981,CO,54.9019607843
1981,CT,90.1960784314
1981,DC,88.2352941176
1981,DE,52.9411764706
1981,FL,3.92156862745
1981,GA,41.1764705882
1981,HI,70.5882352941
1981,IA,50.9803921569
1981,ID,9.80392156863
1981,IL,68.6274509804
1981,IN,45.0980392157
1981,KS,62.7450980392
1981,KY,31.3725490196
1981,LA,17.6470588235
1981,MA,100.0
1981,MD,72.5490196078
1981,ME,66.6666666667
1981,MI,80.3921568627
1981,MN,92.1568627451
1981,MO,39.2156862745
1981,MS,15.6862745098
1981,MT,56.862745098
1981,NC,25.4901960784
1981,ND,49.0196078431
1981,NE,35.2941176471
1981,NH,86.2745098039
1981,NJ,78.431372549
1981,NM,11.7647058824
1981,NV,47.0588235294
1981,NY,96.0784313725
1981,OH,58.8235294118
1981,OK,60.7843137255
1981,OR,37.2549019608
1981,PA,74.5098039216
1981,RI,94.1176470588
1981,SC,23.5294117647
1981,SD,33.3333333333
1981,TN,19.6078431373
1981,TX,29.4117647059
1981,UT,21.568627451
1981,VA,43.137254902
1981,VT,76.4705882353
1981,WA,64.7058823529
1981,WI,98.0392156863
1981,WV,7.8431372549
1981,WY,13.7254901961
1982,AK,62.7450980392
1982,AL,19.6078431373
1982,AR,27.4509803922
1982,AZ,1.96078431373
1982,CA,82.3529411765
1982,CO,39.2156862745
1982,CT,94.1176470588
1982,DC,92.1568627451
1982,DE,58.8235294118
1982,FL,11.7647058824
1982,GA,29.4117647059
1982,HI,68.6274509804
1982,IA,52.9411764706
1982,ID,17.6470588235
1982,IL,76.4705882353
1982,IN,50.9803921569
1982,KS,66.6666666667
1982,KY,41.1764705882
1982,LA,33.3333333333
1982,MA,98.0392156863
1982,MD,72.5490196078
1982,ME,84.3137254902
1982,MI,64.7058823529
1982,MN,88.2352941176
1982,MO,35.2941176471
1982,MS,23.5294117647
1982,MT,45.0980392157
1982,NC,15.6862745098
1982,ND,54.9019607843
1982,NE,37.2549019608
1982,NH,60.7843137255
1982,NJ,78.431372549
1982,NM,5.88235294118
1982,NV,70.5882352941
1982,NY,100.0
1982,OH,74.5098039216
1982,OK,56.862745098
1982,OR,31.3725490196
1982,PA,80.3921568627
1982,RI,90.1960784314
1982,SC,13.7254901961
1982,SD,43.137254902
1982,TN,9.80392156863
1982,TX,25.4901960784
1982,UT,21.568627451
1982,VA,47.0588235294
1982,VT,86.2745098039
1982,WA,49.0196078431
1982,WI,96.0784313725
1982,WV,3.92156862745
1982,WY,7.8431372549
1983,AK,62.7450980392
1983,AL,9.80392156863
1983,AR,41.1764705882
1983,AZ,1.96078431373
1983,CA,66.6666666667
1983,CO,47.0588235294
1983,CT,94.1176470588
1983,DC,96.0784313725
1983,DE,78.431372549
1983,FL,15.6862745098
1983,GA,27.4509803922
1983,HI,76.4705882353
1983,IA,45.0980392157
1983,ID,7.8431372549
1983,IL,60.7843137255
1983,IN,43.137254902
1983,KS,50.9803921569
1983,KY,33.3333333333
1983,LA,39.2156862745
1983,MA,100.0
1983,MD,86.2745098039
1983,ME,84.3137254902
1983,MI,74.5098039216
1983,MN,90.1960784314
1983,MO,29.4117647059
1983,MS,17.6470588235
1983,MT,54.9019607843
1983,NC,31.3725490196
1983,ND,58.8235294118
1983,NE,35.2941176471
1983,NH,82.3529411765
1983,NJ,80.3921568627
1983,NM,5.88235294118
1983,NV,56.862745098
1983,NY,98.0392156863
1983,OH,72.5490196078
1983,OK,49.0196078431
1983,OR,21.568627451
1983,PA,68.6274509804
1983,RI,88.2352941176
1983,SC,13.7254901961
1983,SD,37.2549019608
1983,TN,19.6078431373
1983,TX,23.5294117647
1983,UT,25.4901960784
1983,VA,52.9411764706
1983,VT,70.5882352941
1983,WA,64.7058823529
1983,WI,92.1568627451
1983,WV,3.92156862745
1983,WY,11.7647058824
1984,AK,74.5098039216
1984,AL,15.6862745098
1984,AR,21.568627451
1984,AZ,1.96078431373
1984,CA,64.7058823529
1984,CO,62.7450980392
1984,CT,98.0392156863
1984,DC,92.1568627451
1984,DE,70.5882352941
1984,FL,13.7254901961
1984,GA,25.4901960784
1984,HI,80.3921568627
1984,IA,43.137254902
1984,ID,3.92156862745
1984,IL,60.7843137255
1984,IN,50.9803921569
1984,KS,49.0196078431
1984,KY,39.2156862745
1984,LA,41.1764705882
1984,MA,100.0
1984,MD,88.2352941176
1984,ME,82.3529411765
1984,MI,68.6274509804
1984,MN,96.0784313725
1984,MO,33.3333333333
1984,MS,9.80392156863
1984,MT,56.862745098
1984,NC,31.3725490196
1984,ND,58.8235294118
1984,NE,35.2941176471
1984,NH,86.2745098039
1984,NJ,84.3137254902
1984,NM,7.8431372549
1984,NV,23.5294117647
1984,NY,94.1176470588
1984,OH,72.5490196078
1984,OK,52.9411764706
1984,OR,29.4117647059
1984,PA,54.9019607843
1984,RI,90.1960784314
1984,SC,17.6470588235
1984,SD,45.0980392157
1984,TN,27.4509803922
1984,TX,19.6078431373
1984,UT,37.2549019608
1984,VA,47.0588235294
1984,VT,76.4705882353
1984,WA,66.6666666667
1984,WI,78.431372549
1984,WV,5.88235294118
1984,WY,11.7647058824
1985,AK,76.4705882353
1985,AL,13.7254901961
1985,AR,21.568627451
1985,AZ,1.96078431373
1985,CA,62.7450980392
1985,CO,50.9803921569
1985,CT,94.1176470588
1985,DC,92.1568627451
1985,DE,56.862745098
1985,FL,19.6078431373
1985,GA,29.4117647059
1985,HI,70.5882352941
1985,IA,27.4509803922
1985,ID,7.8431372549
1985,IL,52.9411764706
1985,IN,66.6666666667
1985,KS,43.137254902
1985,KY,35.2941176471
1985,LA,54.9019607843
1985,MA,98.0392156863
1985,MD,78.431372549
1985,ME,84.3137254902
1985,MI,68.6274509804
1985,MN,88.2352941176
1985,MO,41.1764705882
1985,MS,5.88235294118
1985,MT,33.3333333333
1985,NC,37.2549019608
1985,ND,60.7843137255
1985,NE,25.4901960784
1985,NH,90.1960784314
1985,NJ,80.3921568627
1985,NM,15.6862745098
1985,NV,9.80392156863
1985,NY,96.0784313725
1985,OH,72.5490196078
1985,OK,49.0196078431
1985,OR,47.0588235294
1985,PA,74.5098039216
1985,RI,100.0
1985,SC,31.3725490196
1985,SD,39.2156862745
1985,TN,23.5294117647
1985,TX,17.6470588235
1985,UT,45.0980392157
1985,VA,58.8235294118
1985,VT,82.3529411765
1985,WA,64.7058823529
1985,WI,86.2745098039
1985,WV,3.92156862745
1985,WY,11.7647058824
1986,AK,70.5882352941
1986,AL,3.92156862745
1986,AR,23.5294117647
1986,AZ,1.96078431373
1986,CA,64.7058823529
1986,CO,21.568627451
1986,CT,98.0392156863
1986,DC,100.0
1986,DE,54.9019607843
1986,FL,19.6078431373
1986,GA,45.0980392157
1986,HI,62.7450980392
1986,IA,49.0196078431
1986,ID,5.88235294118
1986,IL,56.862745098
1986,IN,66.6666666667
1986,KS,50.9803921569
1986,KY,41.1764705882
1986,LA,29.4117647059
1986,MA,90.1960784314
1986,MD,78.431372549
1986,ME,88.2352941176
1986,MI,68.6274509804
1986,MN,84.3137254902
1986,MO,25.4901960784
1986,MS,9.80392156863
1986,MT,43.137254902
1986,NC,33.3333333333
1986,ND,82.3529411765
1986,NE,35.2941176471
1986,NH,96.0784313725
1986,NJ,80.3921568627
1986,NM,11.7647058824
1986,NV,47.0588235294
1986,NY,94.1176470588
1986,OH,72.5490196078
1986,OK,52.9411764706
1986,OR,27.4509803922
1986,PA,76.4705882353
1986,RI,92.1568627451
1986,SC,17.6470588235
1986,SD,37.2549019608
1986,TN,39.2156862745
1986,TX,13.7254901961
1986,UT,31.3725490196
1986,VA,58.8235294118
1986,VT,74.5098039216
1986,WA,60.7843137255
1986,WI,86.2745098039
1986,WV,15.6862745098
1986,WY,7.8431372549
1987,AK,64.7058823529
1987,AL,3.92156862745
1987,AR,15.6862745098
1987,AZ,1.96078431373
1987,CA,58.8235294118
1987,CO,41.1764705882
1987,CT,96.0784313725
1987,DC,100.0
1987,DE,80.3921568627
1987,FL,23.5294117647
1987,GA,45.0980392157
1987,HI,62.7450980392
1987,IA,39.2156862745
1987,ID,9.80392156863
1987,IL,47.0588235294
1987,IN,60.7843137255
1987,KS,56.862745098
1987,KY,37.2549019608
1987,LA,19.6078431373
1987,MA,94.1176470588
1987,MD,74.5098039216
1987,ME,78.431372549
1987,MI,68.6274509804
1987,MN,82.3529411765
1987,MO,29.4117647059
1987,MS,7.8431372549
1987,MT,31.3725490196
1987,NC,35.2941176471
1987,ND,86.2745098039
1987,NE,52.9411764706
1987,NH,90.1960784314
1987,NJ,84.3137254902
1987,NM,13.7254901961
1987,NV,21.568627451
1987,NY,92.1568627451
1987,OH,66.6666666667
1987,OK,33.3333333333
1987,OR,17.6470588235
1987,PA,72.5490196078
1987,RI,98.0392156863
1987,SC,25.4901960784
1987,SD,43.137254902
1987,TN,50.9803921569
1987,TX,11.7647058824
1987,UT,49.0196078431
1987,VA,54.9019607843
1987,VT,76.4705882353
1987,WA,70.5882352941
1987,WI,88.2352941176
1987,WV,5.88235294118
1987,WY,27.4509803922
1988,AK,72.5490196078
1988,AL,3.92156862745
1988,AR,11.7647058824
1988,AZ,1.96078431373
1988,CA,56.862745098
1988,CO,25.4901960784
1988,CT,100.0
1988,DC,98.0392156863
1988,DE,62.7450980392
1988,FL,17.6470588235
1988,GA,45.0980392157
1988,HI,52.9411764706
1988,IA,66.6666666667
1988,ID,19.6078431373
1988,IL,49.0196078431
1988,IN,68.6274509804
1988,KS,58.8235294118
1988,KY,31.3725490196
1988,LA,21.568627451
1988,MA,96.0784313725
1988,MD,74.5098039216
1988,ME,76.4705882353
1988,MI,60.7843137255
1988,MN,82.3529411765
1988,MO,27.4509803922
1988,MS,5.88235294118
1988,MT,47.0588235294
1988,NC,43.137254902
1988,ND,78.431372549
1988,NE,54.9019607843
1988,NH,84.3137254902
1988,NJ,92.1568627451
1988,NM,9.80392156863
1988,NV,23.5294117647
1988,NY,94.1176470588
1988,OH,64.7058823529
1988,OK,33.3333333333
1988,OR,50.9803921569
1988,PA,70.5882352941
1988,RI,90.1960784314
1988,SC,13.7254901961
1988,SD,41.1764705882
1988,TN,35.2941176471
1988,TX,7.8431372549
1988,UT,39.2156862745
1988,VA,37.2549019608
1988,VT,86.2745098039
1988,WA,80.3921568627
1988,WI,88.2352941176
1988,WV,15.6862745098
1988,WY,29.4117647059
1989,AK,80.3921568627
1989,AL,1.96078431373
1989,AR,21.568627451
1989,AZ,7.8431372549
1989,CA,54.9019607843
1989,CO,23.5294117647
1989,CT,100.0
1989,DC,92.1568627451
1989,DE,62.7450980392
1989,FL,25.4901960784
1989,GA,41.1764705882
1989,HI,49.0196078431
1989,IA,66.6666666667
1989,ID,13.7254901961
1989,IL,45.0980392157
1989,IN,60.7843137255
1989,KS,50.9803921569
1989,KY,47.0588235294
1989,LA,19.6078431373
1989,MA,96.0784313725
1989,MD,76.4705882353
1989,ME,84.3137254902
1989,MI,64.7058823529
1989,MN,82.3529411765
1989,MO,29.4117647059
1989,MS,9.80392156863
1989,MT,39.2156862745
1989,NC,56.862745098
1989,ND,70.5882352941
1989,NE,35.2941176471
1989,NH,74.5098039216
1989,NJ,88.2352941176
1989,NM,5.88235294118
1989,NV,11.7647058824
1989,NY,94.1176470588
1989,OH,78.431372549
1989,OK,43.137254902
1989,OR,37.2549019608
1989,PA,68.6274509804
1989,RI,98.0392156863
1989,SC,15.6862745098
1989,SD,58.8235294118
1989,TN,31.3725490196
1989,TX,3.92156862745
1989,UT,52.9411764706
1989,VA,27.4509803922
1989,VT,86.2745098039
1989,WA,72.5490196078
1989,WI,90.1960784314
1989,WV,33.3333333333
1989,WY,17.6470588235
1990,AK,78.431372549
1990,AL,9.80392156863
1990,AR,17.6470588235
1990,AZ,7.8431372549
1990,CA,41.1764705882
1990,CO,13.7254901961
1990,CT,100.0
1990,DC,92.1568627451
1990,DE,76.4705882353
1990,FL,23.5294117647
1990,GA,37.2549019608
1990,HI,43.137254902
1990,IA,66.6666666667
1990,ID,5.88235294118
1990,IL,25.4901960784
1990,IN,62.7450980392
1990,KS,52.9411764706
1990,KY,39.2156862745
1990,LA,35.2941176471
1990,MA,96.0784313725
1990,MD,70.5882352941
1990,ME,80.3921568627
1990,MI,54.9019607843
1990,MN,82.3529411765
1990,MO,21.568627451
1990,MS,1.96078431373
1990,MT,27.4509803922
1990,NC,50.9803921569
1990,ND,68.6274509804
1990,NE,56.862745098
1990,NH,90.1960784314
1990,NJ,86.2745098039
1990,NM,3.92156862745
1990,NV,19.6078431373
1990,NY,94.1176470588
1990,OH,74.5098039216
1990,OK,33.3333333333
1990,OR,60.7843137255
1990,PA,64.7058823529
1990,RI,98.0392156863
1990,SC,45.0980392157
1990,SD,49.0196078431
1990,TN,47.0588235294
1990,TX,11.7647058824
1990,UT,58.8235294118
1990,VA,31.3725490196
1990,VT,72.5490196078
1990,WA,84.3137254902
1990,WI,88.2352941176
1990,WV,15.6862745098
1990,WY,29.4117647059
1991,AK,68.6274509804
1991,AL,5.88235294118
1991,AR,27.4509803922
1991,AZ,7.8431372549
1991,CA,23.5294117647
1991,CO,49.0196078431
1991,CT,90.1960784314
1991,DC,92.1568627451
1991,DE,78.431372549
1991,FL,19.6078431373
1991,GA,37.2549019608
1991,HI,66.6666666667
1991,IA,70.5882352941
1991,ID,11.7647058824
1991,IL,21.568627451
1991,IN,41.1764705882
1991,KS,33.3333333333
1991,KY,50.9803921569
1991,LA,62.7450980392
1991,MA,96.0784313725
1991,MD,80.3921568627
1991,ME,84.3137254902
1991,MI,72.5490196078
1991,MN,74.5098039216
1991,MO,64.7058823529
1991,MS,3.92156862745
1991,MT,29.4117647059
1991,NC,45.0980392157
1991,ND,52.9411764706
1991,NE,54.9019607843
1991,NH,100.0
1991,NJ,88.2352941176
1991,NM,1.96078431373
1991,NV,13.7254901961
1991,NY,94.1176470588
1991,OH,56.862745098
1991,OK,17.6470588235
1991,OR,25.4901960784
1991,PA,86.2745098039
1991,RI,98.0392156863
1991,SC,47.0588235294
1991,SD,39.2156862745
1991,TN,58.8235294118
1991,TX,9.80392156863
1991,UT,15.6862745098
1991,VA,35.2941176471
1991,VT,60.7843137255
1991,WA,76.4705882353
1991,WI,82.3529411765
1991,WV,43.137254902
1991,WY,31.3725490196
1992,AK,70.5882352941
1992,AL,19.6078431373
1992,AR,21.568627451
1992,AZ,9.80392156863
1992,CA,31.3725490196
1992,CO,49.0196078431
1992,CT,98.0392156863
1992,DC,88.2352941176
1992,DE,84.3137254902
1992,FL,11.7647058824
1992,GA,17.6470588235
1992,HI,37.2549019608
1992,IA,54.9019607843
1992,ID,5.88235294118
1992,IL,41.1764705882
1992,IN,80.3921568627
1992,KS,60.7843137255
1992,KY,47.0588235294
1992,LA,50.9803921569
1992,MA,96.0784313725
1992,MD,64.7058823529
1992,ME,86.2745098039
1992,MI,62.7450980392
1992,MN,72.5490196078
1992,MO,35.2941176471
1992,MS,3.92156862745
1992,MT,29.4117647059
1992,NC,25.4901960784
1992,ND,66.6666666667
1992,NE,56.862745098
1992,NH,100.0
1992,NJ,90.1960784314
1992,NM,1.96078431373
1992,NV,13.7254901961
1992,NY,94.1176470588
1992,OH,68.6274509804
