_NAME_,_TYPE_,_STATUS_,y1_Intercept,y1_x1,y2_Intercept,y2_x1,y2_x2,y3_Intercept,y3_x1,y3_x2,y3_x3,y4_Intercept,y4_x1,y4_x2,y4_x3,y4_x4,_Rho_y1_y2,_Rho_y1_y3,_Rho_y1_y4,_Rho_y2_y3,_Rho_y2_y4,_Rho_y3_y4
,PARM,0 Converged,0.1612750992,1.0990685882,0.8911063596,0.0841678287,-0.882944145,1.0118565342,-1.945929494,0.4144011078,-0.774112582,-6.000878714,0.9384755735,-0.117934272,2.952334106,-0.526701452,0.9989401107,0.164839662,0.1536272624,0.1650283907,0.1631339198,0.7497073235
,STD,0 Converged,0.0174836274,0.0624363673,0.0322264458,0.06096532,0.0326086751,0.0782847429,0.0713376082,0.0676582868,0.0346513013,0.184753392,0.0930064792,0.0915314504,0.0844219357,0.1732324215,0.0005509605,0.0229996691,0.0314052884,0.0229681118,0.0312639665,0.0240152618
y1.Intercept,COV,0 Converged,0.0003056772,0.0000153317,0.0002706711,-0.000012401,-0.000012486,0.0000319813,-2.767484E-6,6.0905214E-7,-3.351497E-7,0.0000198815,5.8778806E-7,2.1729304E-6,4.1975475E-6,-4.678537E-6,-1.921799E-8,-3.369236E-6,-4.09099E-6,-2.642523E-6,-3.554377E-6,-1.321864E-6
y1.x1,COV,0 Converged,0.0000153317,0.0038983,0.0004031413,0.0029074599,-0.000484772,2.9361706E-6,0.0003770262,-2.621808E-6,-1.753652E-6,-1.424212E-6,0.0003723314,-1.968218E-6,1.074546E-7,-0.000013264,2.4972071E-7,-0.000028433,-0.000023211,-0.000016694,-8.428686E-6,5.2491287E-7
y2.Intercept,COV,0 Converged,0.0002706711,0.0004031413,0.0010385438,-0.000226317,-0.000894822,0.00007778,-9.50776E-7,-0.000053212,-1.388197E-6,0.0001302241,-8.696668E-6,-0.000090449,-0.000011587,1.7573435E-6,9.9188455E-7,-0.000039149,-0.00003838,-0.000010061,-6.241329E-6,-4.126979E-8
y2.x1,COV,0 Converged,-0.000012401,0.0029074599,-0.000226317,0.0037167702,0.0002687754,-0.000041323,0.0003839195,0.0000464656,7.7653067E-7,-0.000209546,0.0004337008,0.0001005361,0.000062953,0.0000129125,-0.000011015,0.0000410198,0.0000399471,-2.28185E-6,0.00002201,2.0921456E-6
y2.x2,COV,0 Converged,-0.000012486,-0.000484772,-0.000894822,0.0002687754,0.0010633257,-0.000057093,-1.220411E-6,0.0000654071,1.510808E-6,-0.000162477,0.0000167502,0.0001158716,0.00003288,-7.335529E-7,-2.06775E-6,0.0000488422,0.0000480868,5.9156129E-6,2.1496497E-6,-4.609797E-6
y3.Intercept,COV,0 Converged,0.0000319813,2.9361706E-6,0.00007778,-0.000041323,-0.000057093,0.006128501,-0.000658081,-0.003671213,-0.001738872,0.0022212453,-0.000106123,-0.001534964,-0.000556846,-0.000074735,1.5030382E-7,-0.000040606,-0.000026062,-0.0000375,-0.000022794,-0.000030892
y3.x1,COV,0 Converged,-2.767484E-6,0.0003770262,-9.50776E-7,0.0003839195,-1.220411E-6,-0.000658081,0.0050890543,-0.000216528,0.0004606281,0.0005522947,0.0017583828,0.0000460096,-0.000294812,0.0000386718,-6.696803E-7,0.0000136506,0.0000282106,0.0000125915,0.0000274028,0.0000370161
y3.x2,COV,0 Converged,6.0905214E-7,-2.621808E-6,-0.000053212,0.0000464656,0.0000654071,-0.003671213,-0.000216528,0.0045776438,-0.000118561,-0.001621863,0.0000421429,0.0018577335,0.0000233561,0.0000750018,-2.393522E-7,0.000036856,0.0000104416,0.0000324209,7.091702E-6,0.0000114291
y3.x3,COV,0 Converged,-3.351497E-7,-1.753652E-6,-1.388197E-6,7.7653067E-7,1.510808E-6,-0.001738872,0.0004606281,-0.000118561,0.0012007127,-0.000467968,1.139229E-6,-0.000017918,0.0003563942,6.5766781E-6,-2.32129E-9,4.3333657E-6,0.0000106502,4.686445E-6,0.0000103236,0.0000193389
y4.Intercept,COV,0 Converged,0.0000198815,-1.424212E-6,0.0001302241,-0.000209546,-0.000162477,0.0022212453,0.0005522947,-0.001621863,-0.000467968,0.0341338159,-0.00391522,-0.00675611,-0.013880376,0.0054093451,3.0541003E-6,0.0000326877,-0.000051581,0.0001004987,0.0000799386,0.0004658011
y4.x1,COV,0 Converged,5.8778806E-7,0.0003723314,-8.696668E-6,0.0004337008,0.0000167502,-0.000106123,0.0017583828,0.0000421429,1.139229E-6,-0.00391522,0.0086502052,-0.000064796,0.0019060351,-0.000313132,-1.117907E-6,-0.000011854,-0.000065865,-0.000014122,-0.000068695,-0.000066952
y4.x2,COV,0 Converged,2.1729304E-6,-1.968218E-6,-0.000090449,0.0001005361,0.0001158716,-0.001534964,0.0000460096,0.0018577335,-0.000017918,-0.00675611,-0.000064796,0.0083780064,-0.000209906,-0.000673963,-9.243933E-7,0.0000264436,0.0001268264,0.0000108546,0.0001014978,0.0000793177
y4.x3,COV,0 Converged,4.1975475E-6,1.074546E-7,-0.000011587,0.000062953,0.00003288,-0.000556846,-0.000294812,0.0000233561,0.0003563942,-0.013880376,0.0019060351,-0.000209906,0.0071270632,-0.001078756,-1.144285E-6,-0.000024162,-0.000031156,-0.00005381,-0.000085597,-0.000264319
