_,x1,x2,x3,x4,y1,y2,y3,y4,r_in,obs_in,seed_in,P_y1,P_y2,P_y3,P_y4,Meff_P1_y1_x1,Meff_P2_y1_x1,Meff_P1_y2_x1,Meff_P2_y2_x1,Meff_P1_y2_x2,Meff_P2_y2_x2,Meff_P1_y3_x1,Meff_P2_y3_x1,Meff_P1_y3_x2,Meff_P2_y3_x2,Meff_P1_y3_x3,Meff_P2_y3_x3,Meff_P1_y4_x1,Meff_P2_y4_x1,Meff_P1_y4_x2,Meff_P2_y4_x2,Meff_P1_y4_x3,Meff_P2_y4_x3,Meff_P1_y4_x4,Meff_P2_y4_x4,Prob_y1,Prob_y2,Prob_y3,Prob_y4
0,0.199767496,1.175236728,0.691625892,-0.109306518,1,1,1,0,75,5000,12309,1,0,1,0,-0.449620811,0.4496208109,-0.064593882,0.0645938822,0.3790575857,-0.379057586,0.6540118088,-0.654011809,-0.137670448,0.1376704481,0.2569294336,-0.256929434,-0.000135139,0.0001351387,0.0000377402,-0.00003774,-0.000387603,0.0003876028,0.0000371759,-0.000037176,0.6497245359,0.4388409308,0.7200330088,0.9999694624
1,-0.357995497,0.5840969314,1.1576278515,-0.029932104,0,0,1,0,75,5000,12309,0,1,1,0,-0.463885677,0.4638856772,-0.062039748,0.0620397484,0.3640691108,-0.364069111,0.4376671529,-0.437667153,-0.09212958,0.0921295797,0.1719381396,-0.17193814,-0.004045164,0.0040451636,0.0011296949,-0.001129695,-0.011602281,0.0116022807,0.001112801,-0.001112801,0.6149667815,0.3733196793,0.8575063571,0.9988359883
2,0.0699989132,0.8355273029,0.7917965895,-0.002874214,1,1,1,0,75,5000,12309,1,1,1,0,-0.471805811,0.4718058108,-0.064618106,0.0646181064,0.3791997416,-0.379199742,0.6397233829,-0.639723383,-0.134662713,0.1346627135,0.251316206,-0.251316206,-0.00033496,0.0003349597,0.0000935444,-0.000093544,-0.000960727,0.0009607266,0.0000921455,-0.000092145,0.5898262964,0.5601906971,0.7322642471,0.9999201225
3,0.3661079064,0.9263042341,2.393064577,0.1523237847,0,0,0,1,75,5000,12309,1,1,0,1,-0.407646439,0.4076464387,-0.064949779,0.0649497791,0.3811461032,-0.381146103,0.404378979,-0.404378979,-0.08512237,0.0851223701,0.158860835,-0.158860835,-0.18771024,0.1877102401,0.0524219326,-0.052421933,-0.538387842,0.5383878418,0.051637994,-0.051637994,0.2787910187,0.4551390122,0.8730179197,0.8967865092
4,0.190336052,0.7694997321,0.7056483098,-0.197538159,1,1,1,0,75,5000,12309,1,1,1,0,-0.451574659,0.4515746594,-0.063588498,0.0635884984,0.3731576716,-0.373157672,0.7083125595,-0.70831256,-0.149100836,0.1491008361,0.2782615578,-0.278261558,-0.000269421,0.0002694206,0.0000752412,-0.000075241,-0.000772748,0.0007727485,0.0000741161,-0.000074116,0.6454747089,0.5927609554,0.6644415486,0.9999366103
5,-0.047170268,0.3479998523,0.520794604,-0.293764093,1,1,1,0,75,5000,12309,1,1,1,0,-0.482388343,0.4823883427,-0.054563326,0.0545633265,0.3201950727,-0.320195073,0.53791595,-0.53791595,-0.113232099,0.113232099,0.2113210167,-0.211321017,-0.000017923,0.0000179233,5.0054588E-6,-5.005459E-6,-0.000051407,0.0000514075,4.9306052E-6,-4.930605E-6,0.5338332413,0.7260806382,0.803666093,0.9999963432
6,0.3000617614,1.2416124784,1.102318117,-0.165914336,1,1,1,0,75,5000,12309,1,0,1,0,-0.42589412,0.42589412,-0.064052548,0.0640525479,0.3758808628,-0.375880863,0.7711318831,-0.771131883,-0.162324396,0.1623243961,0.302940215,-0.302940215,-0.011628547,0.0116285473,0.0032475102,-0.00324751,-0.033352834,0.0333528341,0.0031989457,-0.003198946,0.6936725715,0.4202340057,0.5405175009,0.9962709409
7,0.0205447977,1.242917581,2.2625060152,-0.145513461,1,0,0,1,75,5000,12309,1,0,0,1,-0.477419597,0.4774195968,-0.063378563,0.0633785628,0.3719257024,-0.371925702,0.7530904919,-0.753090492,-0.158526657,0.1585266567,0.2958526298,-0.29585263,-0.367237604,0.3672376039,0.1025586292,-0.102558629,-1.053305674,1.053305674,0.1010249264,-0.101024926,0.5663479726,0.5980667604,0.5949144297,0.6928952629
8,0.1689951856,0.4324976294,2.228154839,0.1457686717,1,1,0,1,75,5000,12309,1,1,0,1,-0.45580664,0.45580664,-0.056028098,0.056028098,0.3287908211,-0.328790821,0.5474968729,-0.547496873,-0.115248897,0.1152488974,0.2150848954,-0.215084895,-0.324299404,0.3242994041,0.0905672567,-0.090567257,-0.93015094,0.9301509398,0.0892128777,-0.089212878,0.6357920863,0.7106129261,0.797825696,0.7608581598
9,-0.28540202,0.9844825163,1.785408186,-0.117444748,1,1,1,0,75,5000,12309,0,0,1,0,-0.474141986,0.4741419861,-0.065281842,0.065281842,0.3830947542,-0.383094754,0.6424753978,-0.642475398,-0.135242017,0.1352420166,0.2523973388,-0.252397339,-0.208190682,0.2081906823,0.0581415159,-0.058141516,-0.597129555,0.5971295548,0.0572720444,-0.057272044,0.4191012333,0.48006364,0.7299656114,0.8807298576
10,-0.481702934,0.5560839918,1.1295033565,-0.066710633,1,1,1,0,75,5000,12309,0,1,1,0,-0.438996042,0.4389960423,-0.061904921,0.061904921,0.3632779007,-0.363277901,0.3245451857,-0.324545186,-0.068317239,0.0683172392,0.1274980201,-0.12749802,-0.002192848,0.0021928481,0.0006123978,-0.000612398,-0.006289496,0.0062894956,0.0006032397,-0.00060324,0.3290958054,0.6292014543,0.9065078284,0.9994017386
11,-0.148111494,0.9105870068,1.6574702009,-0.079935709,1,1,1,0,75,5000,12309,0,1,1,0,-0.483788536,0.4837885362,-0.065301523,0.0653015235,0.3832102514,-0.383210251,0.7116522025,-0.711652203,-0.149803836,0.1498038358,0.2795735412,-0.279573541,-0.154772419,0.1547724194,0.0432233709,-0.043223371,-0.443916053,0.4439160528,0.0425769914,-0.042576991,0.4850087148,0.5173680125,0.6603393013,0.9204204271
