state,year,pop,num_pov,st_err_num,pct_pov,st_err_pct,st
Alabama,1980.0,3831.0,810.0,80.0,21.2,1.9,AL
Alabama,1981.0,3878.0,935.0,86.0,24.1,1.9,AL
Alabama,1982.0,3937.0,849.0,82.0,21.6,1.8,AL
Alabama,1983.0,3950.0,909.0,89.0,23.0,1.98,AL
Alabama,1984.0,3875.0,738.0,76.0,19.1,1.8,AL
Alabama,1985.0,3981.0,821.0,82.0,20.6,2.1,AL
Alabama,1986.0,4025.0,959.0,87.0,23.8,2.2,AL
Alabama,1987.0,3989.0,851.0,86.0,21.3,2.2,AL
Alabama,1988.0,4015.0,775.0,83.0,19.3,2.1,AL
Alabama,1989.0,4074.0,770.0,83.0,18.9,2.0,AL
Alabama,1990.0,4063.0,779.0,83.0,19.2,2.0,AL
Alabama,1991.0,4178.0,786.0,83.0,18.8,2.0,AL
Alabama,1992.0,4226.0,729.0,81.0,17.3,1.92,AL
Alabama,1993.0,4168.0,725.0,81.0,17.4,1.94,AL
Alabama,1994.0,4299.0,704.0,80.0,16.4,1.87,AL
Alabama,1995.0,4396.0,882.0,86.0,20.1,1.96,AL
Alabama,1996.0,4258.0,595.0,79.0,14.0,1.72,AL
Alabama,1997.0,4243.0,665.0,83.0,15.7,1.81,AL
Alabama,1998.0,4190.0,609.0,80.0,14.5,1.76,AL
Alabama,1999.0,4388.0,668.0,84.0,15.2,1.76,AL
Alabama,2000.0,4376.0,583.0,53.0,13.3,1.12,AL
Alabama,2001.0,4378.0,696.0,57.0,15.9,1.21,AL
Alabama,2002.0,4432.0,640.0,55.0,14.5,1.15,AL
Alabama,2003.0,4417.0,663.0,56.0,15.0,1.17,AL
Alabama,2004.0,4508.0,762.0,59.0,16.9,1.31,AL
Alabama,2005.0,4501.0,750.0,59.0,16.7,1.31,AL
Alabama,2006.0,4532.0,650.0,56.0,14.3,1.23,AL
Alabama,2007.0,4566.0,662.0,56.0,14.5,1.23,AL
Alabama,2008.0,4716.0,675.0,57.0,14.3,1.2,AL
Alabama,2009.0,4655.0,770.0,60.0,16.6,1.28,AL
Alabama,2010.0,4717.0,812.0,83.0,17.2,1.79,AL
Alabama,2011.0,4765.0,732.0,74.0,15.4,1.53,AL
Alabama,2012.0,4808.0,777.0,91.0,16.2,1.9,AL
Alabama,2013.0,4751.219222,795.6540482,67.16943161,16.74631313,1.413730423,AL
Alabama,2014.0,4765.0,848.0,53.0,17.806,1.105,AL
Alaska,1980.0,379.0,36.0,17.0,9.6,4.3,AK
Alaska,1981.0,403.0,36.0,17.0,9.0,4.0,AK
Alaska,1982.0,432.0,46.0,19.0,10.6,4.2,AK
Alaska,1983.0,486.0,61.0,8.0,12.6,1.49,AK
Alaska,1984.0,507.0,49.0,20.0,9.6,3.7,AK
Alaska,1985.0,510.0,45.0,7.0,8.7,1.4,AK
Alaska,1986.0,517.0,59.0,8.0,11.4,1.5,AK
Alaska,1987.0,499.0,60.0,8.0,12.0,1.7,AK
Alaska,1988.0,480.0,53.0,8.0,11.0,1.7,AK
Alaska,1989.0,488.0,51.0,8.0,10.5,1.5,AK
Alaska,1990.0,499.0,57.0,8.0,11.4,1.6,AK
Alaska,1991.0,525.0,62.0,8.0,11.8,1.6,AK
Alaska,1992.0,572.0,58.0,8.0,10.2,1.4,AK
Alaska,1993.0,570.0,52.0,8.0,9.1,1.34,AK
Alaska,1994.0,592.0,61.0,8.0,10.2,1.38,AK
Alaska,1995.0,630.0,45.0,8.0,7.1,1.28,AK
Alaska,1996.0,657.0,54.0,9.0,8.2,1.33,AK
Alaska,1997.0,640.0,56.0,9.0,8.8,1.4,AK
Alaska,1998.0,641.0,60.0,10.0,9.4,1.44,AK
Alaska,1999.0,630.0,48.0,9.0,7.6,1.32,AK
Alaska,2000.0,620.0,47.0,5.0,7.6,0.85,AK
Alaska,2001.0,632.0,54.0,6.0,8.5,0.88,AK
Alaska,2002.0,632.0,56.0,6.0,8.8,0.9,AK
Alaska,2003.0,643.0,62.0,6.0,9.6,0.93,AK
Alaska,2004.0,648.0,59.0,7.0,9.1,1.1,AK
Alaska,2005.0,657.0,66.0,7.0,10.0,1.14,AK
Alaska,2006.0,658.0,58.0,7.0,8.9,1.08,AK
Alaska,2007.0,675.0,51.0,7.0,7.6,1.0,AK
Alaska,2008.0,672.0,55.0,7.0,8.2,1.03,AK
Alaska,2009.0,688.0,81.0,8.0,11.7,1.2,AK
Alaska,2010.0,695.0,87.0,10.0,12.5,1.45,AK
Alaska,2011.0,712.0,83.0,9.0,11.7,1.33,AK
Alaska,2012.0,701.7728282,70.0614162,8.036155372,9.983489441,1.137279825,AK
Alaska,2013.0,695.9493295,76.1607789,11.96762461,10.94343736,1.719611486,AK
Alaska,2014.0,694.0,82.0,8.0,11.853,1.17,AK
Arizona,1980.0,2774.0,354.0,53.0,12.8,1.8,AZ
Arizona,1981.0,2751.0,323.0,51.0,11.7,1.7,AZ
Arizona,1982.0,2765.0,408.0,57.0,14.8,1.9,AZ
Arizona,1983.0,2875.0,469.0,61.0,16.3,1.95,AZ
Arizona,1984.0,3133.0,569.0,67.0,18.2,1.9,AZ
Arizona,1985.0,3227.0,345.0,54.0,10.7,1.7,AZ
Arizona,1986.0,3386.0,484.0,63.0,14.3,1.9,AZ
Arizona,1987.0,3459.0,444.0,62.0,12.8,1.8,AZ
Arizona,1988.0,3491.0,491.0,65.0,14.1,1.9,AZ
Arizona,1989.0,3556.0,502.0,66.0,14.1,1.9,AZ
Arizona,1990.0,3521.0,484.0,65.0,13.7,1.8,AZ
Arizona,1991.0,3603.0,532.0,67.0,14.8,1.9,AZ
Arizona,1992.0,3851.0,607.0,71.0,15.8,1.86,AZ
Arizona,1993.0,4003.0,615.0,72.0,15.4,1.81,AZ
Arizona,1994.0,4223.0,673.0,74.0,15.9,1.79,AZ
Arizona,1995.0,4337.0,700.0,77.0,16.1,1.77,AZ
Arizona,1996.0,4786.0,980.0,99.0,20.5,1.85,AZ
Arizona,1997.0,4643.0,797.0,89.0,17.2,1.76,AZ
Arizona,1998.0,4887.0,812.0,90.0,16.6,1.69,AZ
Arizona,1999.0,5057.0,616.0,79.0,12.2,1.46,AZ
Arizona,2000.0,5181.0,607.0,63.0,11.7,1.14,AZ
Arizona,2001.0,5314.0,778.0,71.0,14.6,1.24,AZ
Arizona,2002.0,5424.0,735.0,69.0,13.5,1.19,AZ
Arizona,2003.0,5558.0,749.0,70.0,13.5,1.17,AZ
Arizona,2004.0,5763.0,830.0,68.0,14.4,1.18,AZ
Arizona,2005.0,6025.0,917.0,71.0,15.2,1.18,AZ
Arizona,2006.0,6256.0,902.0,71.0,14.4,1.13,AZ
Arizona,2007.0,6365.0,912.0,71.0,14.3,1.12,AZ
Arizona,2008.0,6529.0,1172.0,79.0,18.0,1.21,AZ
Arizona,2009.0,6508.0,1381.0,84.0,21.2,1.29,AZ
Arizona,2010.0,6426.0,1208.0,108.0,18.8,1.69,AZ
Arizona,2011.0,6547.0,1128.0,107.0,17.2,1.66,AZ
Arizona,2012.0,6641.709195,1259.848686,110.8526968,18.96874206,1.696448187,AZ
Arizona,2013.0,6645.249078,1344.980097,93.11442344,20.23972436,1.401217958,AZ
Arizona,2014.0,6657.0,1409.0,76.0,21.164,1.147,AZ
Arkansas,1980.0,2249.0,484.0,62.0,21.5,2.4,AR
Arkansas,1981.0,2247.0,541.0,65.0,24.1,2.5,AR
Arkansas,1982.0,2219.0,527.0,65.0,23.8,2.5,AR
Arkansas,1983.0,2283.0,492.0,56.0,21.5,2.16,AR
Arkansas,1984.0,2364.0,564.0,67.0,23.9,2.5,AR
Arkansas,1985.0,2364.0,541.0,50.0,22.9,2.1,AR
Arkansas,1986.0,2342.0,499.0,48.0,21.3,2.1,AR
Arkansas,1987.0,2468.0,537.0,51.0,21.8,2.1,AR
Arkansas,1988.0,2446.0,527.0,51.0,21.6,2.1,AR
Arkansas,1989.0,2419.0,442.0,48.0,18.3,2.0,AR
Arkansas,1990.0,2411.0,472.0,49.0,19.6,2.0,AR
Arkansas,1991.0,2450.0,425.0,47.0,17.3,1.9,AR
Arkansas,1992.0,2463.0,430.0,47.0,17.5,1.92,AR
Arkansas,1993.0,2421.0,484.0,49.0,20.0,2.04,AR
Arkansas,1994.0,2414.0,369.0,44.0,15.3,1.83,AR
Arkansas,1995.0,2532.0,376.0,44.0,14.9,1.75,AR
Arkansas,1996.0,2606.0,449.0,52.0,17.2,1.83,AR
Arkansas,1997.0,2621.0,515.0,56.0,19.7,1.92,AR
Arkansas,1998.0,2559.0,377.0,48.0,14.7,1.73,AR
Arkansas,1999.0,2616.0,384.0,48.0,14.7,1.71,AR
Arkansas,2000.0,2650.0,436.0,38.0,16.5,1.3,AR
Arkansas,2001.0,2650.0,472.0,39.0,17.8,1.35,AR
Arkansas,2002.0,2690.0,532.0,42.0,19.8,1.39,AR
Arkansas,2003.0,2670.0,474.0,39.0,17.8,1.34,AR
Arkansas,2004.0,2723.0,412.0,35.0,15.1,1.3,AR
Arkansas,2005.0,2756.0,382.0,34.0,13.8,1.25,AR
Arkansas,2006.0,2748.0,487.0,38.0,17.7,1.38,AR
Arkansas,2007.0,2803.0,387.0,35.0,13.8,1.23,AR
Arkansas,2008.0,2822.0,431.0,36.0,15.3,1.28,AR
Arkansas,2009.0,2846.0,538.0,40.0,18.9,1.39,AR
Arkansas,2010.0,2879.0,440.0,45.0,15.3,1.58,AR
Arkansas,2011.0,2909.0,545.0,46.0,18.7,1.58,AR
Arkansas,2012.0,2908.552656,584.4093313,51.48067235,20.09278842,1.757732452,AR
Arkansas,2013.0,2940.079177,504.1040231,69.38934801,17.14593359,2.360118345,AR
Arkansas,2014.0,2891.0,532.0,44.0,18.402,1.533,AR
California,1980.0,23748.0,2619.0,144.0,11.0,0.6,CA
California,1981.0,24112.0,3216.0,159.0,13.3,0.6,CA
California,1982.0,24613.0,3475.0,165.0,14.1,0.6,CA
California,1983.0,25169.0,3755.0,194.0,14.9,0.71,CA
California,1984.0,25596.0,3375.0,163.0,13.2,0.6,CA
California,1985.0,26456.0,3596.0,188.0,13.6,0.7,CA
California,1986.0,27082.0,3453.0,184.0,12.7,0.7,CA
California,1987.0,27877.0,3443.0,188.0,12.3,0.7,CA
California,1988.0,27855.0,3687.0,249.0,13.2,0.9,CA
California,1989.0,29346.0,3772.0,197.0,12.9,0.7,CA
California,1990.0,29765.0,4128.0,205.0,13.9,0.7,CA
California,1991.0,30735.0,4825.0,219.0,15.7,0.7,CA
California,1992.0,31701.0,5197.0,225.0,16.4,0.72,CA
California,1993.0,31970.0,5803.0,235.0,18.2,0.74,CA
California,1994.0,31669.0,5658.0,233.0,17.9,0.74,CA
California,1995.0,32055.0,5342.0,244.0,16.7,0.76,CA
California,1996.0,32305.0,5472.0,268.0,16.9,0.76,CA
California,1997.0,32877.0,5459.0,268.0,16.6,0.75,CA
California,1998.0,33292.0,5118.0,259.0,15.4,0.72,CA
California,1999.0,33705.0,4733.0,250.0,14.0,0.69,CA
California,2000.0,33889.0,4294.0,191.0,12.7,0.53,CA
California,2001.0,34394.0,4321.0,191.0,12.6,0.52,CA
California,2002.0,35068.0,4605.0,197.0,13.1,0.53,CA
California,2003.0,35309.0,4634.0,198.0,13.1,0.53,CA
California,2004.0,35772.0,4724.0,165.0,13.2,0.46,CA
California,2005.0,35840.0,4716.0,164.0,13.2,0.46,CA
California,2006.0,36160.0,4427.0,160.0,12.2,0.44,CA
California,2007.0,36247.0,4589.0,163.0,12.7,0.45,CA
California,2008.0,36637.0,5344.0,174.0,14.6,0.47,CA
California,2009.0,36742.0,5638.0,177.0,15.3,0.48,CA
California,2010.0,37240.0,6073.0,212.0,16.3,0.57,CA
California,2011.0,37592.0,6352.0,202.0,16.9,0.55,CA
California,2012.0,37912.40396,6015.364133,192.4014297,15.86648037,0.51044217,CA
California,2013.0,38053.85744,5675.187965,213.6333681,14.91356816,0.561397405,CA
California,2014.0,38666.0,6112.0,218.0,15.807,0.563,CA
Colorado,1980.0,2869.0,247.0,44.0,8.6,1.5,CO
Colorado,1981.0,2958.0,285.0,48.0,9.6,1.5,CO
Colorado,1982.0,3064.0,387.0,55.0,12.6,1.7,CO
Colorado,1983.0,3083.0,390.0,55.0,12.6,1.67,CO
Colorado,1984.0,3067.0,274.0,47.0,8.9,1.5,CO
Colorado,1985.0,3176.0,324.0,53.0,10.2,1.7,CO
Colorado,1986.0,3157.0,426.0,59.0,13.5,1.9,CO
Colorado,1987.0,3184.0,398.0,60.0,12.5,1.9,CO
Colorado,1988.0,3237.0,405.0,60.0,12.5,1.9,CO
Colorado,1989.0,3258.0,393.0,59.0,12.1,1.8,CO
Colorado,1990.0,3367.0,461.0,63.0,13.7,1.9,CO
Colorado,1991.0,3319.0,347.0,56.0,10.4,1.7,CO
Colorado,1992.0,3478.0,376.0,58.0,10.8,1.67,CO
Colorado,1993.0,3564.0,354.0,56.0,9.9,1.59,CO
Colorado,1994.0,3736.0,335.0,55.0,9.0,1.48,CO
Colorado,1995.0,3793.0,335.0,54.0,8.8,1.43,CO
Colorado,1996.0,3869.0,412.0,63.0,10.6,1.54,CO
Colorado,1997.0,3921.0,320.0,56.0,8.2,1.36,CO
Colorado,1998.0,3966.0,363.0,59.0,9.2,1.42,CO
Colorado,1999.0,4319.0,366.0,59.0,8.5,1.32,CO
Colorado,2000.0,4334.0,425.0,39.0,9.8,0.86,CO
