Table with row headings in column A and column headings in row 4.,,,,,,
state,pop,num_pov,st_err_num,pct_pov,st_err_pct,Year
Alabama,4765,848,53,17.806,1.105,2014
Alaska,694,82,8,11.853,1.17,
Arizona,6657,1409,76,21.164,1.147,
Arkansas,2891,532,44,18.402,1.533,
California,38666,6112,218,15.807,0.563,
Colorado,5376,661,72,12.297,1.347,
Connecticut,3577,308,44,8.605,1.216,
Delaware,929,103,10,11.043,1.033,
DC,657,125,9,19.024,1.328,
Florida,19694,3282,150,16.667,0.761,
Georgia,9948,1676,92,16.845,0.924,
Hawaii,1365,147,16,10.788,1.146,
Idaho,1606,199,22,12.402,1.352,
Illinois,12774,1756,111,13.744,0.866,
Indiana,6470,948,85,14.648,1.31,
Iowa,3078,317,33,10.29,1.059,
Kansas,2851,345,31,12.091,1.101,
Kentucky,4299,861,69,20.027,1.599,
Louisiana,4550,1049,53,23.057,1.161,
Maine,1300,190,20,14.629,1.534,
Maryland,5934,584,55,9.85,0.931,
Massachusetts,6653,902,71,13.553,1.061,
Michigan,9893,1462,90,14.777,0.91,
Minnesota,5417,447,53,8.26,0.98,
Mississippi,2961,654,37,22.094,1.246,
Missouri,5950,620,54,10.414,0.914,
Montana,1008,121,13,12.022,1.334,
Nebraska,1873,221,23,11.776,1.211,
Nevada,2819,478,45,16.961,1.582,
New Hampshire,1318,95,11,7.2,0.835,
New Jersey,8938,1013,90,11.334,1.009,
New Mexico,2030,406,33,19.976,1.617,
New York,19658,2755,144,14.017,0.733,
North Carolina,9823,1678,117,17.082,1.187,
North Dakota,731,71,5,9.673,0.737,
Ohio,11505,1792,109,15.579,0.947,
Oklahoma,3728,647,51,17.345,1.364,
Oregon,3955,570,47,14.417,1.198,
Pennsylvania,12620,1581,104,12.529,0.824,
Rhode Island,1046,119,14,11.341,1.322,
South Carolina,4764,788,51,16.544,1.069,
South Dakota,846,109,14,12.82,1.659,
Tennessee,6496,1122,75,17.27,1.158,
Texas,26676,4364,173,16.361,0.648,
Utah,2928,298,36,10.189,1.239,
Vermont,615,57,6,9.305,0.921,
Virginia,8257,842,73,10.194,0.882,
Washington,7079,852,82,12.036,1.163,
West Virginia,1822,376,30,20.622,1.669,
Wisconsin,5742,628,55,10.94,0.958,
Wyoming,572,55,6,9.653,1.109,
Alabama,4751.219222,795.6540482,67.16943161,16.74631313,1.413730423,2013
Alaska,695.9493295,76.1607789,11.96762461,10.94343736,1.719611486,
Arizona,6645.249078,1344.980097,93.11442344,20.23972436,1.401217958,
Arkansas,2940.079177,504.1040231,69.38934801,17.14593359,2.360118345,
California,38053.85744,5675.187965,213.6333681,14.91356816,0.561397405,
Colorado,5288.530682,559.8320996,54.44041744,10.58577766,1.029405344,
Connecticut,3544.966592,400.4740353,35.97376112,11.29697629,1.014784207,
Delaware,907.3366248,127.177977,13.70339763,14.01662553,1.510288162,
DC,649.9799334,138.7070633,10.59619348,21.34020701,1.630233941,
Florida,19371.22571,2887.95894,176.6603191,14.90849873,0.91197285,
Georgia,9787.141724,1592.304993,121.4168281,16.26935665,1.240574945,
Hawaii,1368.049025,151.8171459,15.93664909,11.09734689,1.164917982,
Idaho,1591.695043,205.4040166,30.26490597,12.90473433,1.901426162,
Illinois,12778.55046,1695.34385,117.410391,13.26710612,0.918808369,
Indiana,6397.908899,743.4613006,75.51041294,11.6203796,1.180235826,
Iowa,3066.337985,330.0555418,31.07653948,10.76383437,1.013474041,
Kansas,2830.131666,372.574934,32.29422921,13.16457953,1.141085752,
Kentucky,4360.373572,871.4522979,62.57285673,19.98572562,1.435034308,
Louisiana,4504.216994,863.3168216,94.79000008,19.16685681,2.104472325,
Maine,1310.082713,160.500162,17.24376063,12.25114723,1.316234498,
Maryland,5933.066169,610.9761687,51.28097193,10.29781485,0.864324962,
Massachusetts,6569.791069,784.2526034,92.55154142,11.93725333,1.40874406,
Michigan,9840.133334,1428.268316,117.6139591,14.51472524,1.195247616,
Minnesota,5398.05068,648.5745583,60.19346077,12.0149772,1.115096251,
Mississippi,2918.182598,657.4492191,57.02821577,22.52940647,1.954237401,
Missouri,5997.259657,824.3788551,90.31939626,13.74592568,1.506011102,
Montana,998.2026341,145.1353515,19.93919029,14.53966825,1.997509284,
Nebraska,1838.460396,202.3238495,23.1893366,11.00506979,1.261345453,
Nevada,2759.801508,480.448817,51.55411926,17.40881783,1.868037216,
New Hampshire,1317.336901,118.7785707,11.94025779,9.016567485,0.906393633,
New Jersey,8841.978658,984.2052398,119.7732768,11.13105197,1.354598122,
New Mexico,2098.545393,454.3699438,46.05074063,21.65166145,2.194412415,
New York,19487.81001,2825.319766,163.6583218,14.49788234,0.839798427,
